cpu,faces,fps,mem,model,timestamp
52.0,1,5.0,74.6,HOG,2025-04-30 17:11:30
65.5,1,15.5,74.6,HOG,2025-04-30 17:11:31
61.7,1,15.4,74.6,HOG,2025-04-30 17:11:32
64.2,1,15.5,74.6,HOG,2025-04-30 17:11:33
64.4,1,15.5,74.6,HOG,2025-04-30 17:11:34
60.0,1,15.3,74.6,HOG,2025-04-30 17:11:35
62.1,1,14.8,74.6,HOG,2025-04-30 17:11:36
64.2,1,14.9,74.6,HOG,2025-04-30 17:11:37
64.9,1,15.2,74.6,HOG,2025-04-30 17:11:38
60.4,1,14.9,74.6,HOG,2025-04-30 17:11:39
64.2,0,14.9,74.6,HOG,2025-04-30 17:11:40
65.2,0,15.1,74.6,HOG,2025-04-30 17:11:41
62.7,0,14.9,74.6,HOG,2025-04-30 17:11:42
60.7,0,15.1,74.6,HOG,2025-04-30 17:11:43
64.1,1,14.9,74.6,HOG,2025-04-30 17:11:44
63.1,1,15.1,74.6,HOG,2025-04-30 17:11:45
59.0,0,14.9,74.6,HOG,2025-04-30 17:11:46
62.4,1,15.1,74.6,HOG,2025-04-30 17:11:47
63.5,0,15.0,74.6,HOG,2025-04-30 17:11:48
62.9,1,15.0,74.6,HOG,2025-04-30 17:11:49
58.8,1,15.0,74.6,HOG,2025-04-30 17:11:50
62.4,1,15.0,74.6,HOG,2025-04-30 17:11:51
63.3,1,15.0,74.6,HOG,2025-04-30 17:11:52
60.5,1,15.0,74.7,HOG,2025-04-30 17:11:53
60.1,1,14.7,74.6,HOG,2025-04-30 17:11:55
63.9,1,15.2,74.6,HOG,2025-04-30 17:11:56
63.6,1,14.9,74.6,HOG,2025-04-30 17:11:57
58.2,1,14.8,74.6,HOG,2025-04-30 17:11:58
62.5,1,15.3,74.6,HOG,2025-04-30 17:11:59
64.5,1,15.0,74.6,HOG,2025-04-30 17:12:00
62.4,1,14.9,74.6,HOG,2025-04-30 17:12:01
59.1,1,15.1,74.6,HOG,2025-04-30 17:12:02
63.8,1,15.0,74.6,HOG,2025-04-30 17:12:03
64.0,1,15.0,74.6,HOG,2025-04-30 17:12:04
59.2,1,14.9,74.6,HOG,2025-04-30 17:12:05
62.4,1,14.8,74.6,HOG,2025-04-30 17:12:06
63.5,1,15.1,74.6,HOG,2025-04-30 17:12:07
82.7,1,14.2,73.6,HOG,2025-04-30 17:12:08
59.2,1,15.2,73.6,HOG,2025-04-30 17:12:09
63.8,1,14.9,73.6,HOG,2025-04-30 17:12:10
63.4,1,14.7,73.6,HOG,2025-04-30 17:12:11
62.3,1,15.3,73.6,HOG,2025-04-30 17:12:12
59.8,1,15.1,73.6,HOG,2025-04-30 17:12:13
64.3,1,15.3,73.6,HOG,2025-04-30 17:12:14
64.2,1,15.2,73.6,HOG,2025-04-30 17:12:15
61.6,1,15.0,73.7,HOG,2025-04-30 17:12:16
61.8,1,14.9,73.6,HOG,2025-04-30 17:12:17
63.8,1,15.0,73.6,HOG,2025-04-30 17:12:18
69.7,1,15.0,73.6,HOG,2025-04-30 17:12:19
66.4,1,0.7,74.0,CNN,2025-04-30 17:12:38
93.1,1,0.8,74.4,CNN,2025-04-30 17:12:39
98.1,1,1.2,74.4,CNN,2025-04-30 17:12:41
99.5,1,0.9,74.5,CNN,2025-04-30 17:12:43
